name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
7 Wonders II,DS,2009,Puzzle,Rondomedia,0.13,0.15,0,0.03,0.31,60,5,5.350289309168199,NA
Dark Void,X360,2010,Action,Capcom,0.19,0.09,0,0.03,0.31,59,69,6,61
Happy Feet,DS,2006,Action,Midway Games,0.27,0.01,0,0.02,0.31,31.746377576411188,NA,0.3,9
Manhunt 2,PSP,2007,Action,Take-Two Interactive,0.04,0.17,0,0.09,0.31,69,15,8.1,38
Mega Man Maverick Hunter X,PSP,2005,Platform,Capcom,0.27,0.01,0,0.03,0.31,79,34,8.3,44
Star Wars Jedi Knight II: Jedi Outcast,XB,N/A,Shooter,Activision,0.23,0.07,0,0.01,0.31,81,24,6.8,15
Clash of the Titans,PS3,2010,Action,Namco Bandai Games,0.09,0.15,0.01,0.05,0.31,41,28,1.7,17
Mega Man Battle Network 2,GBA,2002,Action,Ubisoft,0.22,0.08,0,0.01,0.31,81,15,9,21
Major League Baseball 2K8,PS3,2008,Sports,Bethesda Softworks,0.28,0,0,0.03,0.31,67,23,5.6,8
Pandora's Tower,Wii,2011,Role-Playing,Nintendo,0.11,0.1,0.08,0.02,0.31,73,48,8,99
SimAnimals,Wii,2009,Simulation,Electronic Arts,0.14,0.13,0,0.03,0.31,58,13,2.1,35
Tiger Woods PGA Tour 06,X360,2005,Sports,Electronic Arts,0.28,0,0,0.02,0.31,71,36,7.4,8
Jonah Lomu Rugby Challenge,X360,2011,Sports,Home Entertainment Suppliers,0.09,0.19,0,0.03,0.31,73,14,6,8
Midway Arcade Treasures 2,XB,2004,Misc,Midway Games,0.24,0.05,0,0.01,0.31,74,38,7.4,7
The Incredible Hulk,Wii,2008,Action,Sega,0.28,0.01,0,0.02,0.31,46,21,2.8478119535805373,NA
NASCAR Thunder 2003,GC,2002,Racing,Electronic Arts,0.24,0.06,0,0.01,0.31,85,12,6.6,5
Mega Man Zero Collection,DS,2010,Platform,Capcom,0.17,0.01,0.11,0.02,0.31,78,15,8.9,39
Pro Evolution Soccer 2013,X360,2012,Sports,Konami Digital Entertainment,0.08,0.2,0,0.03,0.31,82,33,6.9,77
Star Wars Racer Revenge,PS2,2002,Racing,LucasArts,0.15,0.12,0,0.04,0.31,73,34,8.5,11
NCAA Final Four 2002,PS2,2001,Sports,Sony Computer Entertainment,0.15,0.12,0,0.04,0.31,52,14,6.5,8
Cabela's Outdoor Adventures (2009),Wii,2009,Sports,Activision Value,0.28,0,0,0.02,0.31,73.70479920430347,NA,7.8,4
Blade II,PS2,2002,Action,Activision,0.15,0.12,0,0.04,0.31,49,21,6.1,14
