rank,name,basename,genre,esrb_rating,platform,publisher,developer,jp_sales,year
19834,Nizu no Senritsu Portable 2: Hi no Kioku,nizu-no-senritsu-portable-2-hi-no-kioku,Adventure,unrated,playstation,CyberFront,CyberFront,0.01,2010
19835,Dance with Devils: My Carol,dance-with-devils-my-carol,Visual Novel,unrated,playstation,Rejet,Rejet,0.01,2018
19838,Infinite Loop: Kojjou ga Miseta Yume,infinite-loop-kojjou-ga-miseta-yume,Adventure,unrated,playstation,Nippon Ichi Software,Nippon Ichi Software,0.01,2008
19840,Memories Off: Innocent File,memories-off-innocent-file,Visual Novel,unrated,playstation,MAGES,5pb. Games,0.01,2018
19841,RPG Maker MV,rpg-maker-mv,Misc,E10,playstation,NIS America,Kadokawa Games,0.01,2019
19842,Shinjuku no Ookami,shinjuku-no-ookami,Action,unrated,playstation,Spike,YSK,0.01,2009
19843,Tetsudou Seminar: Oote Shitetsuhen,tetsudou-seminar-oote-shitetsuhen,Simulation,unrated,other,Taito,Taito Corporation,0.01,2009
19844,World End Syndrome,world-end-syndrome,Visual Novel,unrated,nintendo,Arc System Works,Arc System Works,0.01,2018
19845,Shinseiki GPX Cyber Formula VS,shinseiki-gpx-cyber-formula-vs,Racing,unrated,playstation,Sunrise Interactive,Sunrise Interactive,0.01,2008
19849,Grand Theft Auto: Liberty City Stories / Vice City Stories,grand-theft-auto-liberty-city-stories,Misc,unrated,playstation,Moss,Unknown,0.01,2014
19850,Rear Pheles: Red of Another,rear-pheles-red-of-another,Action,unrated,playstation,Unknown,Unknown,0.01,2015
19852,Sweet Pool,sweet-pool,Visual Novel,unrated,playstation,Dramatic Create,Dramatic Create,0.01,2018
19854,theta,theta,Puzzle,unrated,other,Nintendo,VITEI,0.01,2007
19856,Nintama Rantarou: Nintama no Tame no Ninjutsu Training,nintama-rantarou-nintama-no-tame-no-ninjutsu-training,Puzzle,unrated,other,Russel,Russel,0.01,2009
19860,Ashita no Joe 2: The Anime Super Remix,ashita-no-joe-2-the-anime-super-remix,Fighting,unrated,playstation,Capcom,Capcom,0.01,2002
19861,Tokyo Yamanote Boys for V: Main Disc,tokyo-yamanote-boys-for-v-main-disc,Adventure,unrated,playstation,Rejet,Rejet,0.01,2017
19862,NadePro!! Kisama no Seiyuu Yatte Miro!,nadepro-kisama-no-seiyuu-yatte-miro,Adventure,unrated,playstation,GungHo,GungHo Works,0.01,2009
19863,Nari Kids Park: Ultraman R/B,nari-kids-park-ultraman-r,Action,unrated,nintendo,Bandai Namco Games,Bandai Namco Games,0,2018
19864,Nekketsu Inou Bukatsu: Trigger Kiss,nekketsu-inou-bukatsu-trigger-kiss,Adventure,unrated,playstation,Idea Factory,Idea Factory,0,2014
19867,The World of Golden Eggs: Nori Nori Uta Dekichatte Kei,the-world-of-golden-eggs-nori-nori-uta-dekichatte-kei,Puzzle,unrated,other,AQ Interactive,AQ Interactive,0,2009
19873,Winning Post 8 2017,winning-post-8-2017,Misc,unrated,nintendo,Tecmo Koei,Unknown,0,2017
19874,Hakushaku to Yousei: Yume to Kizuna ni Omoi Hasete,hakushaku-to-yousei-yume-to-kizuna-ni-omoi-hasete,Adventure,unrated,playstation,5pb,Genterprise,0,2009
19875,True Fortune,true-fortune,Adventure,unrated,playstation,Enterbrain,Enterbrain,0,2008
19876,Dynasty Warriors 8: Empires,dynasty-warriors-8-empires,Action,unrated,nintendo,Tecmo Koei,Koei Tecmo Games,0,2017
19880,Island Days,island-days,Misc,unrated,nintendo,Stack,Unknown,0,2014
19883,Daitoshokan no Hitsujikai: Library Party,daitoshokan-no-hitsujikai-library-party,Visual Novel,unrated,nintendo,Aria,August,0,2018
19885,Ougon no Kizuna,ougon-no-kizuna,Role-Playing,unrated,nintendo,Jaleco,TownFactory,0,2009
19887,Will O' Wisp: Easter no Kiseki,will-o-wisp-easter-no-kiseki,Adventure,unrated,playstation,Idea Factory,Idea Factory,0,2008
19890,Desire: Remaster Version,desire-remaster-version,Adventure,unrated,playstation,El Dia,El Dia,0,2017
19892,Machi-ing Maker 4,machi-ing-maker-4,Strategy,unrated,xbox,D3 Publisher,D3,0,2011
19895,ADK Tamashii,adk-tamashii,Fighting,unrated,playstation,SNK Playmore,SNK Playmore Corporation,0,2008
19896,Cendrillon palikA,cendrillon-palika,Visual Novel,unrated,nintendo,Idea Factory,Otomate,0,2018
19897,Dynamic Chord feat. Kyohso: V Edition,dynamic-chord-feat-kyohso-v-edition,Adventure,unrated,playstation,honeybee,Unknown,0,2017
19903,Samurai Warriors: Sanada Maru,samurai-warriors-sanada-maru,Action,unrated,nintendo,Tecmo Koei,Omega Force,0,2017
19904,Sanzen Sekai Yuugi: Re Multi Universe Myself,sanzen-sekai-yuugi-re-multi-universe-myself,Visual Novel,unrated,playstation,Dramatic Create,girls dynamics,0,2018
19905,Clannad,clannad,Visual Novel,unrated,playstation,Prototype,Prototype,0,2018
19909,Hakuoki: Shinkai - Fuukaden,hakuoki-shinkai-fuukaden,Visual Novel,unrated,nintendo,Idea Factory,Idea Factory,0,2018
19911,Far East of Eden Ziria: Harukanaru Jipang,far-east-of-eden-ziria-harukanaru-jipang,Role-Playing,unrated,xbox,Hudson Soft,Hudson Soft,0,2006
19912,Mahjong Kakutou Club Wii: Wi-Fi Taiou,mahjong-kakutou-club-wii-wi-fi-taiou,Misc,unrated,nintendo,Konami,Konami,0,2009
19914,Pia Carrot e Youkoso!! G.P. Gakuen Princess Portable,pia-carrot-e-youkoso-gp-gakuen-princess-portable,Adventure,unrated,playstation,GN Software,HuneX,0,2009
19917,Janline,janline,Misc,unrated,xbox,Recom,Recom,0,2008
19924,Chi's Sweet Home: Chi ga Ouchi ni Yatte Kita!,chis-sweet-home-chi-ga-ouchi-ni-yatte-kita,Simulation,unrated,other,Interchannel,Interchannel,0,2008
19926,Metal Gear Online,metal-gear-online,Action,unrated,playstation,Konami Digital Entertainment,Kojima Productions,0,2008
19927,Owaru Sekai to Birthday,owaru-sekai-to-birthday,Adventure,unrated,playstation,Entergram,Entergram,0,2017
19928,Hamatora: Look at Smoking World,hamatora-look-at-smoking-world,Misc,unrated,nintendo,FuRyu Corporation,Unknown,0,2014
