rank,name,basename,genre,esrb_rating,platform,publisher,developer,global_sales,year,region,regional_sales
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,other,Sony Computer Entertainment,Naughty Dog,6.84,2011,japan,0.19
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,other,Sony Computer Entertainment,Naughty Dog,6.84,2011,other,1.06
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,other,Electronic Arts,EA Los Angeles,6.83,2002,north america,2.93
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,other,Electronic Arts,EA Los Angeles,6.83,2002,europe,2.75
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,other,Electronic Arts,EA Los Angeles,6.83,2002,japan,0.17
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,other,Electronic Arts,EA Los Angeles,6.83,2002,other,0.99
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,other,Sony Computer Entertainment,Naughty Dog,6.74,2009,north america,3.28
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,other,Sony Computer Entertainment,Naughty Dog,6.74,2009,europe,2.22
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,other,Sony Computer Entertainment,Naughty Dog,6.74,2009,japan,0.21
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,other,Sony Computer Entertainment,Naughty Dog,6.74,2009,other,1.02
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,6.72,2007,north america,3.13
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,6.72,2007,europe,2.27
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,6.72,2007,japan,0.28
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,other,Activision,Infinity Ward,6.72,2007,other,1.04
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,other,EA Sports,EA Canada,6.65,2011,north america,0.84
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,other,EA Sports,EA Canada,6.65,2011,europe,4.33
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,other,EA Sports,EA Canada,6.65,2011,japan,0.11
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,other,EA Sports,EA Canada,6.65,2011,other,1.37
155,FIFA 14,fifa-14,Sports,E,other,EA Sports,EA Canada,6.61,2013,north america,0.79
155,FIFA 14,fifa-14,Sports,E,other,EA Sports,EA Canada,6.61,2013,europe,4.77
155,FIFA 14,fifa-14,Sports,E,other,EA Sports,EA Canada,6.61,2013,japan,0.07
155,FIFA 14,fifa-14,Sports,E,other,EA Sports,EA Canada,6.61,2013,other,0.98
156,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,6.57,2011,north america,2.82
156,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,6.57,2011,europe,2.58
156,Red Dead Redemption,red-dead-redemption,Action,M,other,Rockstar Games,Rockstar San Diego,6.57,2011,japan,0.17
